operator_name;marker_time;vehicle_id;longitude_x;latitude_y;vehicle_type;vehicle_activity;coordonnees_xy
WIND;2019-10-31T15:16:11+01:00;S0024411;2.33592;48.871082;scooter;parking;48.871082,2.33592
WIND;2019-10-31T15:16:11+01:00;S0025342;2.335178;48.868282;scooter;parking;48.868282,2.335178
WIND;2019-10-31T15:16:11+01:00;S0024669;2.335875;48.870975;scooter;parking;48.870975,2.335875
WIND;2019-10-31T15:16:11+01:00;S0024939;2.339625;48.854916;scooter;parking;48.854916,2.339625
WIND;2019-10-31T15:16:11+01:00;S0025464;2.359414;48.866146;scooter;parking;48.866146,2.359414
WIND;2019-10-31T15:16:11+01:00;S0024849;2.332645;48.873333;scooter;parking;48.873333,2.332645
WIND;2019-10-31T15:16:11+01:00;S0025837;2.325907;48.869724;scooter;parking;48.869724,2.325907
WIND;2019-10-31T15:16:11+01:00;S0024789;2.358561;48.856754;scooter;parking;48.856754,2.358561
WIND;2019-10-31T15:16:11+01:00;S0025575;2.350221;48.862289;scooter;parking;48.862289,2.350221
WIND;2019-10-31T15:16:11+01:00;S0024406;2.328232;48.879025;scooter;parking;48.879025,2.328232
WIND;2019-10-31T15:16:11+01:00;S0025658;2.36024;48.865028;scooter;parking;48.865028,2.36024
WIND;2019-10-31T15:16:11+01:00;S0024519;2.338547;48.851337;scooter;parking;48.851337,2.338547
WIND;2019-10-31T15:16:11+01:00;S0024325;2.324067;48.873184;scooter;parking;48.873184,2.324067
WIND;2019-10-31T15:16:11+01:00;S0025420;2.310139;48.877373;scooter;parking;48.877373,2.310139
WIND;2019-10-31T15:16:11+01:00;S0025520;2.338221;48.85368;scooter;parking;48.85368,2.338221
WIND;2019-10-31T15:16:11+01:00;S0024788;2.322656;48.873253;scooter;parking;48.873253,2.322656
WIND;2019-10-31T15:16:11+01:00;S0025316;2.317985;48.877811;scooter;parking;48.877811,2.317985
WIND;2019-10-31T15:16:11+01:00;S0025401;2.358293;48.86314;scooter;parking;48.86314,2.358293
WIND;2019-10-31T15:16:11+01:00;S0024156;2.317896;48.877937;scooter;parking;48.877937,2.317896
WIND;2019-10-31T15:16:11+01:00;S0024151;2.321953;48.868843;scooter;parking;48.868843,2.321953
WIND;2019-10-31T15:16:11+01:00;S0024848;2.339546;48.863689;scooter;parking;48.863689,2.339546
WIND;2019-10-31T15:16:11+01:00;S0025405;2.338657;48.850239;scooter;parking;48.850239,2.338657
WIND;2019-10-31T15:16:11+01:00;S0024268;2.325253;48.86937;scooter;parking;48.86937,2.325253
WIND;2019-10-31T15:16:11+01:00;S0025379;2.333934;48.868301;scooter;parking;48.868301,2.333934
WIND;2019-10-31T15:16:11+01:00;S0024317;2.338229;48.853615;scooter;parking;48.853615,2.338229
WIND;2019-10-31T15:16:11+01:00;S0025506;2.354311;48.859947;scooter;parking;48.859947,2.354311
WIND;2019-10-31T15:16:11+01:00;S0025558;2.336774;48.851875;scooter;parking;48.851875,2.336774
WIND;2019-10-31T15:16:11+01:00;S0024409;2.310003;48.877377;scooter;parking;48.877377,2.310003
WIND;2019-10-31T15:16:11+01:00;S0025600;2.372307;48.872822;scooter;parking;48.872822,2.372307
WIND;2019-10-31T15:16:11+01:00;S0024439;2.338612;48.851322;scooter;parking;48.851322,2.338612
WIND;2019-10-31T15:16:11+01:00;S0024345;2.32426;48.873013;scooter;parking;48.873013,2.32426
WIND;2019-10-31T15:16:11+01:00;S0024360;2.324228;48.873047;scooter;parking;48.873047,2.324228
WIND;2019-10-31T15:16:11+01:00;S0024431;2.338294;48.869106;scooter;parking;48.869106,2.338294
WIND;2019-10-31T15:16:11+01:00;S0025419;2.336608;48.869358;scooter;parking;48.869358,2.336608
WIND;2019-10-31T15:16:11+01:00;S0024860;2.336737;48.852768;scooter;parking;48.852768,2.336737
WIND;2019-10-31T15:16:11+01:00;S0025631;2.359451;48.8606;scooter;parking;48.8606,2.359451
WIND;2019-10-31T15:16:11+01:00;S0024922;2.324109;48.873066;scooter;parking;48.873066,2.324109
WIND;2019-10-31T15:16:11+01:00;S0025691;2.3622;48.865292;scooter;parking;48.865292,2.3622
WIND;2019-10-31T15:16:11+01:00;S0024909;2.338359;48.869026;scooter;parking;48.869026,2.338359
WIND;2019-10-31T15:16:11+01:00;S0025455;2.344552;48.866028;scooter;parking;48.866028,2.344552
WIND;2019-10-31T15:16:11+01:00;S0024754;2.322174;48.87064;scooter;parking;48.87064,2.322174
WIND;2019-10-31T15:16:11+01:00;S0025488;2.33846;48.850407;scooter;parking;48.850407,2.33846
WIND;2019-10-31T15:16:11+01:00;S0025550;2.3405732;48.840901;scooter;parking;48.840901,2.3405732
WIND;2019-10-31T15:16:11+01:00;S0025718;2.356668;48.861645;scooter;parking;48.861645,2.356668
WIND;2019-10-31T15:16:11+01:00;S0025317;2.338822;48.850159;scooter;parking;48.850159,2.338822
WIND;2019-10-31T15:16:11+01:00;S0024326;2.358774;48.863167;scooter;parking;48.863167,2.358774
WIND;2019-10-31T15:16:11+01:00;S0025427;2.34109;48.868465;scooter;parking;48.868465,2.34109
WIND;2019-10-31T15:16:11+01:00;S0024279;2.3567;48.861771;scooter;parking;48.861771,2.3567
WIND;2019-10-31T15:16:11+01:00;S0024366;2.368527;48.864735;scooter;parking;48.864735,2.368527
WIND;2019-10-31T15:16:11+01:00;S0024165;2.362628;48.864986;scooter;parking;48.864986,2.362628
WIND;2019-10-31T15:16:11+01:00;S0024434;2.355888;48.857307;scooter;parking;48.857307,2.355888
WIND;2019-10-31T15:16:11+01:00;S0025416;2.313486;48.87632;scooter;parking;48.87632,2.313486
WIND;2019-10-31T15:16:11+01:00;S0024664;2.472646;48.941183;scooter;nok;48.941183,2.472646
WIND;2019-10-31T15:16:11+01:00;S0025472;2.324183;48.87307;scooter;parking;48.87307,2.324183
WIND;2019-10-31T15:16:11+01:00;S0025679;2.352593;48.860031;scooter;parking;48.860031,2.352593
WIND;2019-10-31T15:16:11+01:00;S0024821;2.336921;48.852589;scooter;parking;48.852589,2.336921
WIND;2019-10-31T15:16:11+01:00;S0025736;2.334906;48.867138;scooter;parking;48.867138,2.334906
WIND;2019-10-31T15:16:11+01:00;S0024383;2.359921;48.862343;scooter;parking;48.862343,2.359921
WIND;2019-10-31T15:16:11+01:00;S0025517;2.362247;48.865116;scooter;parking;48.865116,2.362247
WIND;2019-10-31T15:16:11+01:00;S0024908;2.339496;48.854919;scooter;parking;48.854919,2.339496
WIND;2019-10-31T15:16:11+01:00;S0024205;2.356182;48.860287;scooter;parking;48.860287,2.356182
WIND;2019-10-31T15:16:11+01:00;S0024303;2.340356;48.875061;scooter;parking;48.875061,2.340356
WIND;2019-10-31T15:16:11+01:00;S0024399;2.362264;48.864964;scooter;parking;48.864964,2.362264
WIND;2019-10-31T15:16:11+01:00;S0025561;2.361101;48.858746;scooter;parking;48.858746,2.361101
WIND;2019-10-31T15:16:11+01:00;S0024255;2.341443;48.867649;scooter;parking;48.867649,2.341443
WIND;2019-10-31T15:16:11+01:00;S0025723;2.335676;48.866234;scooter;parking;48.866234,2.335676
WIND;2019-10-31T15:16:11+01:00;S0025724;2.338653;48.850025;scooter;parking;48.850025,2.338653
WIND;2019-10-31T15:16:11+01:00;S0024938;2.336821;48.869293;scooter;parking;48.869293,2.336821
WIND;2019-10-31T15:16:11+01:00;S0024298;2.336982;48.871578;scooter;parking;48.871578,2.336982
WIND;2019-10-31T15:16:11+01:00;S0024804;2.338759;48.853573;scooter;parking;48.853573,2.338759
WIND;2019-10-31T15:16:11+01:00;S0024149;2.359379;48.864655;scooter;parking;48.864655,2.359379
WIND;2019-10-31T15:16:11+01:00;S0025482;2.325335;48.869202;scooter;parking;48.869202,2.325335
WIND;2019-10-31T15:16:11+01:00;S0024684;2.334659;48.871059;scooter;parking;48.871059,2.334659
WIND;2019-10-31T15:16:11+01:00;S0025684;2.336804;48.851871;scooter;parking;48.851871,2.336804
WIND;2019-10-31T15:16:11+01:00;S0024926;0.633102;48.753532;scooter;parking;48.753532,0.633102
WIND;2019-10-31T15:16:11+01:00;S0025627;2.313613;48.876148;scooter;parking;48.876148,2.313613
